"id","name","start time(s)","profile","behavior","maxVel(m/s)","shape","occupantRadius(m)","geometryRadius(m)","height(m)","room","x(m)","y(m)","z(m)","speedInSmoke(m/s)","ACCEL_TIME(s)","MIN_SQUEEZE_FACTOR_CONST","OCCMODEL","PRIORITY_LEVEL","PERSIST_TIME(s)","COLLISION_RESPONSE_TIME(s)","PROP_SPACING(m)","PROP_SOCIAL_DIST(m)","SLOW_FACTOR","BOUNDARY_LAYER(cm)","OBEY_ONEWAY_DOORS","ESCALATOR_PREF","LOCAL_QUEUE_TIME_FACTOR","LOCAL_TRAVEL_TIME_FACTOR","TAIL_TIME_FACTOR","CURR_DOOR_PREF(%)","DIST_TRAVELLED_DOUBLE_DIST(m)","REQUIRES_ASSISTANCE","INIT_ORIENT(°)","ELEVATOR_WAIT_TIME(s)","ATTRACTOR_SUSCEPTIBILITY","ATTRACTOR_SUSCEPTIBILITY_IDLE"
10,"00011",0.000000,"Default","Behavior01",0.805299,"Cylinder",0.227467,0.227467,1.729199,"Floor 0.0 ft->Room16",4.995412,25.403397,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"CMan0012",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,108.829850,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
11,"00012",0.000000,"Default","Behavior01",1.104359,"Cylinder",0.216443,0.216443,1.969697,"Floor 0.0 ft->Room17",3.797016,18.757125,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"BMan0001",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,318.929864,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
12,"00013",0.000000,"Default","Behavior01",1.551684,"Cylinder",0.232992,0.232992,1.979304,"Floor 0.0 ft->Room05_1_1",9.476114,21.681704,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"CMan0003",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,62.975710,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
13,"00014",0.000000,"Default","Behavior01",0.479963,"Cylinder",0.218647,0.218647,1.723872,"Floor 0.0 ft->Room30",18.650222,17.325522,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"CWom0019",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,83.761321,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
14,"00015",0.000000,"Default","Behavior01",1.451838,"Cylinder",0.209895,0.209895,2.006572,"Floor 0.0 ft->Room05_1_1_1",23.502069,18.685691,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"CMan0012",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,353.861473,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
15,"00016",0.000000,"Default","Behavior01",1.428759,"Cylinder",0.212854,0.212854,1.855992,"Floor 0.0 ft->Room05_1_1_1",24.160563,16.977403,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"CMan0002",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,177.803539,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
16,"00017",0.000000,"Default","Behavior01",1.224800,"Cylinder",0.226982,0.226982,2.096778,"Floor 0.0 ft->Room31",25.546558,21.779983,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"BMan0012",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,290.274871,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
17,"00018",0.000000,"Default","Behavior01",0.881317,"Cylinder",0.216850,0.216850,1.886861,"Floor 0.0 ft->Room31",25.219814,20.388026,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"BWom0011",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,18.530177,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
18,"00019",0.000000,"Default","Behavior01",0.492268,"Cylinder",0.209953,0.209953,1.954395,"Floor 0.0 ft->Room14",4.044730,17.659208,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"CMan0002",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,8.579852,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
19,"00020",0.000000,"Default","Behavior01",0.947972,"Cylinder",0.230233,0.230233,1.784130,"Floor 0.0 ft->Room14",2.465172,11.858838,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"BWom0002",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,204.591732,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
20,"00021",0.000000,"Default","Behavior01",1.549354,"Cylinder",0.213608,0.213608,1.863424,"Floor 0.0 ft->Room15",10.037564,13.742869,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"BMan0003",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,96.855518,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
21,"00022",0.000000,"Default","Behavior01",1.357280,"Cylinder",0.221027,0.221027,1.678038,"Floor 0.0 ft->Room15",8.132904,13.560110,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"CWom0018",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,271.535919,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
22,"00023",0.000000,"Default","Behavior01",1.283621,"Cylinder",0.220241,0.220241,1.697566,"Floor 0.0 ft->Room05",6.650560,5.584530,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"BMan0003",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,286.837182,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
23,"00024",0.000000,"Default","Behavior01",1.352737,"Cylinder",0.226361,0.226361,1.869941,"Floor 0.0 ft->Room05",0.635173,3.298573,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"CWom0001",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,94.537297,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
24,"00025",0.000000,"Default","Behavior01",1.077773,"Cylinder",0.220915,0.220915,1.805016,"Floor 0.0 ft->Room05_1_1",25.512503,9.443569,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"BWom0002",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,122.717503,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
25,"00026",0.000000,"Default","Behavior01",0.657808,"Cylinder",0.211651,0.211651,1.705104,"Floor 0.0 ft->Room05_1_1",26.214208,9.278239,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"BWom0001",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,290.735690,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
26,"00027",0.000000,"Default","Behavior01",1.087314,"Cylinder",0.206731,0.206731,1.898191,"Floor 0.0 ft->Room05_1",25.992384,4.219433,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"CMan0012",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,58.247560,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
27,"00028",0.000000,"Default","Behavior01",0.871040,"Cylinder",0.220230,0.220230,1.696576,"Floor 0.0 ft->Room05_1",25.116867,6.137939,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"CMan0012",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,216.667356,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
28,"00029",0.000000,"Default","Behavior01",0.890393,"Cylinder",0.233340,0.233340,1.850242,"Floor 0.0 ft->Room35",25.333981,2.819877,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"CMan0002",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,140.320376,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
29,"00030",0.000000,"Default","Behavior01",1.375459,"Cylinder",0.206864,0.206864,2.097289,"Floor 0.0 ft->Room35",24.450626,2.850496,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"CWom0001",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,40.320222,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
30,"00031",0.000000,"Default","Behavior01",0.529820,"Cylinder",0.233472,0.233472,1.975327,"Floor 0.0 ft->Room19",11.071058,57.416380,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"CWom0001",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,249.855259,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
31,"00032",0.000000,"Default","Behavior01",0.429967,"Cylinder",0.233214,0.233214,1.943735,"Floor 0.0 ft->Room19",9.899676,54.520882,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"CWom0018",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,121.386409,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
32,"00033",0.000000,"Default","Behavior01",0.520177,"Cylinder",0.206891,0.206891,2.000163,"Floor 0.0 ft->Room22",0.845508,49.353332,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"CMan0001",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,261.145507,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
33,"00034",0.000000,"Default","Behavior01",1.636163,"Cylinder",0.212592,0.212592,1.965755,"Floor 0.0 ft->Room22",4.283449,49.862133,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"CMan0002",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,84.116293,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
34,"00035",0.000000,"Default","Behavior01",0.713253,"Cylinder",0.205571,0.205571,1.970772,"Floor 0.0 ft->Room20",10.561057,43.353989,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"CWom0019",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,337.266053,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
35,"00036",0.000000,"Default","Behavior01",1.094232,"Cylinder",0.227765,0.227765,1.883286,"Floor 0.0 ft->Room20",10.296929,45.119494,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"BWom0002",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,359.210222,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
36,"00037",0.000000,"Default","Behavior01",0.653971,"Cylinder",0.213392,0.213392,1.719640,"Floor 0.0 ft->Room28",21.579099,36.044432,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"BMan0003",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,347.674087,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
37,"00038",0.000000,"Default","Behavior01",1.482414,"Cylinder",0.212595,0.212595,1.901978,"Floor 0.0 ft->Room28",22.028278,37.441957,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"CMan0001",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,55.808168,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
38,"00039",0.000000,"Default","Behavior01",0.830760,"Cylinder",0.205576,0.205576,1.853968,"Floor 0.0 ft->Room08_1_1",9.505038,40.121675,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"CMan0012",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,239.745377,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
39,"00040",0.000000,"Default","Behavior01",0.600681,"Cylinder",0.228715,0.228715,2.043132,"Floor 0.0 ft->Room08_1_1_1",25.126075,39.068357,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"BMan0002",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,151.415786,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
40,"00001",0.000000,"Default","Behavior01",0.540718,"Cylinder",0.228109,0.228109,1.884625,"Floor 9.84252 ft->Room44_1",6.058354,33.401922,3.048000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"CMan0001",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,326.858976,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
41,"00002",0.000000,"Default","Behavior01",0.560372,"Cylinder",0.223094,0.223094,1.991071,"Floor 9.84252 ft->Room44_1",2.698792,33.826842,3.048000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"CWom0001",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,16.799955,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
42,"00003",0.000000,"Default","Behavior01",1.266386,"Cylinder",0.234881,0.234881,2.047645,"Floor 9.84252 ft->Room44_1",5.655117,35.293707,3.048000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"BWom0011",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,342.552101,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
43,"00004",0.000000,"Default","Behavior01",1.174325,"Cylinder",0.229233,0.229233,1.917736,"Floor 9.84252 ft->Room44_1",1.812442,28.738379,3.048000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"CMan0002",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,76.188779,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
